장소명,카테고리,전화번호,주소,거리(m),카카오지도_URL,위도,경도,대표메뉴1,가격1,대표메뉴2,가격2,대표메뉴3,가격3,비고
자마미등갈비 부산대점,"음식점 > 한식 > 육류,고기 > 갈비",,부산 금정구 부산대학로49번길 22,288,http://place.map.kakao.com/471682773,35.230346383479,129.085542184808,,,,,,,
칼집삼겹 부산대본점,"음식점 > 한식 > 육류,고기 > 삼겹살",051-513-9392,부산 금정구 금정로 59-4,332,http://place.map.kakao.com/16838039,35.230113701993766,129.08597114295517,,,,,,,
육수재,음식점 > 한식 > 국밥,,부산 금정구 금강로 252,253,http://place.map.kakao.com/1916494447,35.2304189714352,129.084990512516,,,,,,,
고래섬 부산대점,"음식점 > 한식 > 해물,생선",051-583-2050,부산 금정구 금강로 260,202,http://place.map.kakao.com/1951728767,35.231127234773716,129.08520193938443,,,,,,,
곁집,음식점 > 한식,,부산 금정구 금강로 254,236,http://place.map.kakao.com/25503033,35.2306427970632,129.085075317543,,,,,,,
시골통돼지볶음 부산대점,"음식점 > 한식 > 찌개,전골",051-515-7747,부산 금정구 부산대학로50번길 37,252,http://place.map.kakao.com/1676352518,35.2329902871812,129.086277651569,,,,,,,
서문국수,음식점 > 한식 > 국수,051-516-6555,부산 금정구 장전로12번길 32-5,562,http://place.map.kakao.com/2079293923,35.229109300905,129.088300086755,,,,,,,
땡삼이닭도리,"음식점 > 한식 > 육류,고기 > 닭요리",051-513-9999,부산 금정구 금정로91번길 16,230,http://place.map.kakao.com/27311741,35.2330417447783,129.086010981857,,,,,,,
명주네보쌈,"음식점 > 한식 > 육류,고기 > 족발,보쌈",051-512-2093,부산 금정구 금정로119번길 16,442,http://place.map.kakao.com/495416542,35.2355368167327,129.086597697906,,,,,,,
크라운닭발 부산대본점,"음식점 > 한식 > 육류,고기 > 닭요리",051-583-6539,부산 금정구 부산대학로38번길 12,353,http://place.map.kakao.com/2144907200,35.2317346913269,129.087392109404,,,,,,,
두부마을,음식점 > 한식 > 두부전문점,,부산 금정구 금강로321번길 70,523,http://place.map.kakao.com/1955379281,35.2370533981717,129.082678047276,,,,,,,
김해뒷고기 고가,"음식점 > 한식 > 육류,고기",051-517-6148,부산 금정구 금강로 276-9,224,http://place.map.kakao.com/1624286193,35.2326987785132,129.086041737363,,,,,,,
유림부대밀면,음식점 > 한식 > 국수,,부산 금정구 부산대학로63번길 21-5,199,http://place.map.kakao.com/15343642,35.23070936363696,129.08434996057264,,,,,,,
내가찜한닭 부산대점,"음식점 > 한식 > 육류,고기 > 닭요리",,부산 금정구 부산대학로 57,173,http://place.map.kakao.com/426614677,35.2312726705518,129.084920107825,,,,,,,
더통큰집 본점,"음식점 > 한식 > 육류,고기 > 갈비",051-512-2331,부산 금정구 금정로60번길 7-3,382,http://place.map.kakao.com/10896181,35.2301236438048,129.086753366473,,,,,,,
효원주가,음식점 > 한식,,부산 금정구 부산대학로50번길 16,244,http://place.map.kakao.com/1304583666,35.2321263547696,129.086262113197,,,,,,,
터줏집돼지국밥,음식점 > 한식 > 국밥,051-581-1578,부산 금정구 부산대학로49번길 13,277,http://place.map.kakao.com/16436346,35.2307440910494,129.085890637217,,,,,,,
부산대퇴근길,"음식점 > 한식 > 육류,고기",051-512-0279,부산 금정구 장전로12번길 65,490,http://place.map.kakao.com/1826955313,35.230654931748056,129.08855167810523,,,,,,,
온결,음식점 > 한식 > 곰탕,,부산 금정구 부산대학로63번길 21,201,http://place.map.kakao.com/1935215013,35.2306342199493,129.084108613108,,,,,,,
바다사랑횟집,"음식점 > 한식 > 해물,생선 > 회",051-512-7944,부산 금정구 장전온천천로 77,465,http://place.map.kakao.com/14494859,35.23185135421467,129.08867351313592,,,,,,,
부대막창,"음식점 > 한식 > 육류,고기 > 곱창,막창",051-583-5578,부산 금정구 부산대학로50번길 11-10,183,http://place.map.kakao.com/20494724,35.23205356998236,129.0855705183836,,,,,,,
조우,음식점 > 한식,0503-7151-7076,부산 금정구 금강로 256-8,243,http://place.map.kakao.com/529579670,35.2307882391027,129.085420605542,,,,,,,
이모식당,음식점 > 한식,051-515-8547,부산 금정구 부산대학로63번길 21-3,193,http://place.map.kakao.com/16606905,35.23074652829769,129.0842850147405,,,,,,,
부산생아구야,"음식점 > 한식 > 해물,생선 > 아구",,부산 금정구 부산대학로64번길 32-7,113,http://place.map.kakao.com/2106906781,35.2327250235689,129.084780455561,,,,,,,
형제닭도리,"음식점 > 한식 > 육류,고기 > 닭요리",051-515-8494,부산 금정구 금정로91번길 13-1,231,http://place.map.kakao.com/1074076257,35.2328385383413,129.086089249025,,,,,,,
전통쑥밀면&족발&국밥,음식점 > 한식 > 국수,051-515-9337,부산 금정구 부산대학로 38,360,http://place.map.kakao.com/16867719,35.23130680595764,129.0873306231935,,,,,,,
장전돼지국밥,음식점 > 한식 > 국밥,051-512-7926,부산 금정구 부산대학로49번길 13,302,http://place.map.kakao.com/927412839,35.2306247069377,129.086124808169,,,,,,,
박가부대 부산대점,"음식점 > 한식 > 찌개,전골 > 박가부대",051-513-6030,부산 금정구 금강로 266,175,http://place.map.kakao.com/26913208,35.2317517351976,129.085358507657,,,,,,,
황소야 부산대점,"음식점 > 한식 > 육류,고기 > 갈비",051-515-2152,부산 금정구 부산대학로49번길 32,320,http://place.map.kakao.com/27559362,35.229916142487,129.085408163712,,,,,,,
부산대잇쇼,음식점 > 술집 > 일본식주점,,부산 금정구 부산대학로50번길 14,242,http://place.map.kakao.com/792261013,35.23201979017921,129.0862231399844,,,,,,,
부산대식당,음식점 > 한식,,부산 금정구 장전로 56,302,http://place.map.kakao.com/1058903115,35.22970392048092,129.08313261542682,,,,,,,
부산대 보울스 포케샐러드,음식점 > 샐러드,051-583-9333,부산 금정구 장전온천천로73번길 23,365,http://place.map.kakao.com/2142194790,35.2316695554943,129.087511252287,,,,,,,
부산대 홋코리,음식점 > 일식,0503-7153-8792,부산 금정구 금정로91번길 8,271,http://place.map.kakao.com/567753175,35.2329648072305,129.086501054018,,,,,,,
부산대 아리랑횟집,"음식점 > 한식 > 해물,생선 > 회",,부산 금정구 부산대학로50번길 15,222,http://place.map.kakao.com/477551212,35.23208013375011,129.08601600900963,,,,,,,
고기당 부산대점,"음식점 > 한식 > 육류,고기 > 삼겹살",051-632-2970,부산 금정구 장전로 33-7,476,http://place.map.kakao.com/260735708,35.22830930112533,129.08520448929755,,,,,,,
톤쇼우 부산대본점,"음식점 > 일식 > 돈까스,우동",010-5685-5482,부산 금정구 금강로 247-10,224,http://place.map.kakao.com/704518356,35.2304475924754,129.084270776214,,,,,,,
카츠안 부산대점,"음식점 > 일식 > 돈까스,우동",051-517-5133,부산 금정구 금정로 59-8,321,http://place.map.kakao.com/775780473,35.230124068519444,129.08578799715528,,,,,,,
애슐리퀸즈 NC부산대점,음식점 > 패밀리레스토랑 > 애슐리,070-4773-6344,부산 금정구 부산대학로63번길 2,49,http://place.map.kakao.com/17902520,35.23203278032357,129.08390057446118,,,,,,,
디델리 부산대점,음식점 > 분식,051-583-1179,부산 금정구 금정로68번길 11,371,http://place.map.kakao.com/8283020,35.2307155308617,129.087128764495,,,,,,,
맥도날드 부산대2점,음식점 > 패스트푸드 > 맥도날드,051-936-8700,부산 금정구 금정로60번길 24,471,http://place.map.kakao.com/21338573,35.22957414776247,129.08747293016128,,,,,,,
스시마이우 부산대점,"음식점 > 일식 > 초밥,롤",051-582-3339,부산 금정구 부산대학로 34,394,http://place.map.kakao.com/1094712482,35.2312785588177,129.087714299554,,,,,,,
그집짬뽕0927 부산대점,음식점 > 중식 > 중국요리,,부산 금정구 부산대학로 53-1,213,http://place.map.kakao.com/1842303438,35.2311245102851,129.085360022641,,,,,,,
테라비 부산대점,음식점 > 양식,070-7774-9589,부산 금정구 장전로20번길 28,482,http://place.map.kakao.com/2025758437,35.22935743531801,129.08739379342902,,,,,,,
마마도마 부산대점,"음식점 > 일식 > 초밥,롤",051-582-9711,부산 금정구 금강로 248-5,276,http://place.map.kakao.com/1476367066,35.2302609587709,129.085165486634,,,,,,,
델라고 부산대점,음식점 > 양식 > 이탈리안,051-515-1504,부산 금정구 금강로 253-1,207,http://place.map.kakao.com/12811824,35.2308028715028,129.084780682672,,,,,,,
써브웨이 부산대점,음식점 > 패스트푸드 > 샌드위치 > 써브웨이,051-513-3331,부산 금정구 부산대학로 48,249,http://place.map.kakao.com/27457265,35.2314186539085,129.086070457708,,,,,,,
이흥용과자점 부산대직영점,"음식점 > 간식 > 제과,베이커리",051-711-4454,부산 금정구 부산대학로63번길 30,236,http://place.map.kakao.com/819373419,35.2302841886753,129.083921737326,,,,,,,
포포포 부산대본점,음식점 > 아시아음식 > 동남아음식 > 베트남음식,051-582-1566,부산 금정구 금강로 264,173,http://place.map.kakao.com/1280247139,35.23164684679713,129.0852745487854,,,,,,,
동대문엽기떡볶이 부산대점,음식점 > 분식 > 떡볶이 > 동대문엽기떡볶이,051-582-8592,부산 금정구 금강로 271-4,149,http://place.map.kakao.com/26274593,35.23248018061678,129.08523547610613,,,,,,,
고래맥주창고 부산대점,"가정,생활 > 식품판매 > 주류판매 > 고래맥주창고",010-3384-2581,부산 금정구 금강로 244,313,http://place.map.kakao.com/93638946,35.2297490616005,129.084802036542,,,,,,,
짚신매운갈비찜 부산대점,"음식점 > 한식 > 육류,고기 > 갈비",051-583-7776,부산 금정구 금강로 250,267,http://place.map.kakao.com/18204137,35.23028524421131,129.0850112517278,,,,,,,
족발신선생 부산대점,"음식점 > 한식 > 육류,고기 > 족발,보쌈 > 족발신선생",051-516-2324,부산 금정구 부산대학로 28,443,http://place.map.kakao.com/303973845,35.2312797438801,129.088272259308,,,,,,,
피나치공 부산대점,음식점 > 양식 > 피자 > 피나치공,051-583-0034,부산 금정구 금강로 292,276,http://place.map.kakao.com/2143536117,35.23396631906147,129.08595887702518,,,,,,,
와플대학 부산대캠퍼스,"음식점 > 간식 > 제과,베이커리 > 와플대학",010-6585-3179,부산 금정구 부산대학로 23,489,http://place.map.kakao.com/1006132018,35.23097705982917,129.0886840432556,,,,,,,
우마이도 부산대점,음식점 > 일식 > 일본식라면,051-514-8785,부산 금정구 금강로 247-5,253,http://place.map.kakao.com/8468319,35.2302176530642,129.084436223382,,,,,,,
칠칠켄터키 부산대본점,음식점 > 치킨,051-518-9777,부산 금정구 금강로 271-8,119,http://place.map.kakao.com/18061613,35.2325815438797,129.084896498385,,,,,,,
짬뽕상회 부산대점,음식점 > 중식 > 중국요리,051-513-3287,부산 금정구 부산대학로38번길 9,332,http://place.map.kakao.com/477019228,35.231711816315105,129.08715099720158,,,,,,,
마린파스타 부산대점,음식점 > 양식 > 이탈리안,051-913-2399,부산 금정구 부산대학로63번길 47,321,http://place.map.kakao.com/157653122,35.2295217991243,129.084027436024,,,,,,,
히어로보드게임카페 부산대점,음식점,,부산 금정구 부산대학로 29,440,http://place.map.kakao.com/1860421394,35.2307911645163,129.08802030893,,,,,,,
배스킨라빈스 부산대학교점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,051-514-3031,부산 금정구 부산대학로 53,206,http://place.map.kakao.com/7887700,35.23126610983045,129.08540538260638,,,,,,,
나오리쇼쿠 부산대점,음식점 > 일식,010-5144-4145,부산 금정구 금강로 271-14,137,http://place.map.kakao.com/1148231287,35.2326505013364,129.085078385542,,,,,,,
마선생얼큰국밥 부산대점,음식점 > 한식 > 국밥 > 마선생얼큰국밥,051-513-0777,부산 금정구 금강로279번길 81-14,394,http://place.map.kakao.com/2081921463,35.2359242516852,129.083097298715,,,,,,,
나베야 부산대점,"음식점 > 일식 > 돈까스,우동",051-997-5430,부산 금정구 금강로 247-12,224,http://place.map.kakao.com/25654603,35.2304313928238,129.084164927258,,,,,,,
코코브라운 부산대본점,음식점 > 양식 > 이탈리안,051-582-0777,부산 금정구 금강로 250,264,http://place.map.kakao.com/26487017,35.2303090799045,129.084987699796,,,,,,,
쑝쑝돈까스 부산대점,"음식점 > 일식 > 돈까스,우동 > 쑝쑝돈까스",051-514-5554,부산 금정구 부산대학로49번길 33,339,http://place.map.kakao.com/1987993223,35.2298084766357,129.085589916288,,,,,,,
슈퍼크리스피 부산대점,음식점 > 패스트푸드 > 슈퍼크리스피,051-515-0818,부산 금정구 부산대학로49번길 8,221,http://place.map.kakao.com/582995267,35.2310165715672,129.085348473054,,,,,,,
스시심,"음식점 > 일식 > 초밥,롤",051-515-3088,부산 금정구 금강로 279-1,179,http://place.map.kakao.com/1128490425,35.23303410059363,129.08540891198143,,,,,,,
스시심타카이,"음식점 > 일식 > 초밥,롤",010-2847-3576,부산 금정구 부산대학로 29,439,http://place.map.kakao.com/1241565835,35.230800228884725,129.08801724644994,,,,,,,
야마벤또,음식점 > 일식,051-512-9284,부산 금정구 금강로 255-4,185,http://place.map.kakao.com/23636668,35.231040669677775,129.08478676876473,,,,,,,
돈까스겸,"음식점 > 일식 > 돈까스,우동",051-513-5633,부산 금정구 부산대학로63번길 48,304,http://place.map.kakao.com/15597283,35.22965612052987,129.08376289563984,,,,,,,
교토밥상,음식점 > 일식 > 일식집,070-4122-5858,부산 금정구 금강로 270,170,http://place.map.kakao.com/1236512943,35.23208125090694,129.08542844844686,,,,,,,
토흐(TOH),"음식점 > 일식 > 돈까스,우동",051-583-0120,부산 금정구 금강로 295-1,305,http://place.map.kakao.com/1385102417,35.23452067061321,129.08574132692553,,,,,,,
안다미로,음식점 > 일식,051-581-1230,부산 금정구 금강로279번길 8,174,http://place.map.kakao.com/17540055,35.2333014336077,129.085165340992,,,,,,,
모시모시,"음식점 > 일식 > 초밥,롤",051-515-6245,부산 금정구 금강로 271-5,124,http://place.map.kakao.com/17157928,35.2322273903631,129.084948938162,,,,,,,
쿠카이야,"음식점 > 일식 > 돈까스,우동",051-581-3004,부산 금정구 부산대학로63번길 37,268,http://place.map.kakao.com/490268772,35.23001937826585,129.08412363422426,,,,,,,
코하루,음식점 > 일식 > 일본식라면,051-516-4392,부산 금정구 부산대학로38번길 16,353,http://place.map.kakao.com/843345495,35.2319824647025,129.087446783985,,,,,,,
야마즈미우동,"음식점 > 일식 > 돈까스,우동",051-944-3438,부산 금정구 금강로 285-3,205,http://place.map.kakao.com/26640609,35.233566867610634,129.08534567047113,,,,,,,
동경생돈까스,"음식점 > 일식 > 돈까스,우동",051-515-8802,부산 금정구 금강로279번길 6,180,http://place.map.kakao.com/8917092,35.233281677923,129.085265880113,,,,,,,
야타이스시,"음식점 > 일식 > 초밥,롤",051-518-1314,부산 금정구 부산대학로38번길 40,378,http://place.map.kakao.com/27503177,35.232915227893706,129.0877035300681,,,,,,,
코타츠,음식점 > 일식,010-2607-4918,부산 금정구 부산대학로49번길 18,279,http://place.map.kakao.com/1498636881,35.230480814820034,129.0855851645054,,,,,,,
펀치,음식점 > 일식 > 일본식라면,0507-1440-3063,부산 금정구 부산대학로38번길 10,353,http://place.map.kakao.com/1137796922,35.2316358929755,129.087373103192,,,,,,,
어가가이텐스시,"음식점 > 일식 > 초밥,롤",051-513-5354,부산 금정구 장전온천천로 95,512,http://place.map.kakao.com/1878526066,35.2334076890234,129.089087947849,,,,,,,
인자한키친,음식점 > 일식,,부산 금정구 부산대학로64번길 128,555,http://place.map.kakao.com/464139498,35.2370072376287,129.085985140317,,,,,,,
교자비루,음식점 > 술집 > 일본식주점,010-8191-5643,부산 금정구 금강로 284,224,http://place.map.kakao.com/1856580050,35.2333650578991,129.085761158187,,,,,,,
야키도리 디귿,음식점 > 일식 > 일식집,,부산 금정구 부산대학로50번길 43,268,http://place.map.kakao.com/600383700,35.2333029529207,129.086331789387,,,,,,,
스스키노 부산대점,음식점 > 일식,051-583-8263,부산 금정구 부산대학로49번길 43,382,http://place.map.kakao.com/1637523857,35.2293372402466,129.085533921228,,,,,,,
상생라멘 부산대점,음식점 > 일식 > 일본식라면,051-947-5743,부산 금정구 금강로 278,188,http://place.map.kakao.com/1011724834,35.2327348321623,129.0856231077,,,,,,,
스시미도리,"음식점 > 일식 > 초밥,롤",051-513-4223,부산 금정구 금정로91번길 16,229,http://place.map.kakao.com/9326981,35.2330274084942,129.086006221456,,,,,,,
텐동롯코,음식점 > 일식,,부산 금정구 부산대학로49번길 38,349,http://place.map.kakao.com/1686631893,35.2295858015172,129.085333811137,,,,,,,
혼돈불고기돈까스 함박스테이크,"음식점 > 일식 > 돈까스,우동",051-517-4500,부산 금정구 부산대학로49번길 43,382,http://place.map.kakao.com/1481857984,35.22933148375912,129.0855019243125,,,,,,,
라멘정 부산대학점,음식점 > 일식 > 일본식라면,,부산 금정구 부산대학로49번길 16,271,http://place.map.kakao.com/395861167,35.23061409938843,129.08564239260494,,,,,,,
물고기 부산대점,음식점 > 술집 > 일본식주점,051-517-5165,부산 금정구 금강로 271-4,148,http://place.map.kakao.com/391753354,35.2324749085574,129.085227653018,,,,,,,
겐쇼심야라멘,음식점 > 일식 > 일본식라면,,부산 금정구 부산대학로 37,360,http://place.map.kakao.com/805198067,35.23093347427981,129.08713654525428,,,,,,,
미가락,"음식점 > 일식 > 돈까스,우동",051-583-2378,부산 금정구 부산대학로 57,170,http://place.map.kakao.com/15455752,35.2313017215705,129.084907671955,,,,,,,
꽃달,음식점 > 술집 > 일본식주점,,부산 금정구 부산대학로50번길 45,265,http://place.map.kakao.com/1711996521,35.23348458719894,129.08619805406258,,,,,,,
맛나는돈까스,"음식점 > 일식 > 돈까스,우동",,부산 금정구 금강로321번길 57,496,http://place.map.kakao.com/20461041,35.2368679784235,129.083398224924,,,,,,,
겐로쿠우동 부산대점,"음식점 > 일식 > 돈까스,우동 > 겐로쿠우동",,부산 금정구 부산대학로 45-1,276,http://place.map.kakao.com/1605319836,35.2311421760466,129.08621713707853,,,,,,,
키햐아 부산대점,음식점 > 일식,070-4129-6056,부산 금정구 금정로91번길 8,270,http://place.map.kakao.com/315877838,35.2329433407468,129.08649171766,,,,,,,
라멘쿠우,음식점 > 일식 > 일본식라면,,부산 금정구 금강로 280,191,http://place.map.kakao.com/1349681810,35.2328646536917,129.085619842015,,,,,,,
키무엔라멘,음식점 > 일식 > 일본식라면,,부산 금정구 장전온천천로73번길 6,457,http://place.map.kakao.com/739810533,35.2316822966378,129.088548366094,,,,,,,
카츠면,"음식점 > 일식 > 돈까스,우동",051-582-7779,부산 금정구 금강로 275,163,http://place.map.kakao.com/1918864629,35.2327658359521,129.085340538406,,,,,,,
미슐당 부산대점,음식점 > 일식,0502-5554-2813,부산 금정구 부산대학로63번길 29,213,http://place.map.kakao.com/300453609,35.23051142213473,129.0840703264857,,,,,,,
물고기자리,음식점 > 술집 > 일본식주점,070-8866-7177,부산 금정구 금강로 244,313,http://place.map.kakao.com/1008085951,35.2297490616005,129.084802036542,,,,,,,
오사카함박스테이크 부산대본점,음식점 > 일식 > 일식집,051-518-8630,부산 금정구 부산대학로64번길 14-3,97,http://place.map.kakao.com/976653391,35.2322432689185,129.084655000217,,,,,,,
정직유부 부산대점,"음식점 > 일식 > 초밥,롤 > 정직유부",051-583-0889,부산 금정구 금강로 253,217,http://place.map.kakao.com/911727458,35.2306808990327,129.084746809186,,,,,,,
리틀프랑 본점,음식점 > 양식 > 이탈리안,051-581-0056,부산 금정구 부산대학로 50,229,http://place.map.kakao.com/7864496,35.231468490935626,129.0858454864372,,,,,,,
잇쇼우안스테이크 본점,"음식점 > 양식 > 스테이크,립",051-515-0019,부산 금정구 부산대학로50번길 40,274,http://place.map.kakao.com/1742415678,35.2330947423686,129.0864912028,,,,,,,
리멘시타,음식점 > 양식 > 이탈리안,051-513-1001,부산 금정구 금강로 254,235,http://place.map.kakao.com/12664027,35.2306430997494,129.085057752838,,,,,,,
컬러드,음식점 > 양식,051-518-3771,부산 금정구 부산대학로63번길 39,283,http://place.map.kakao.com/1502216307,35.2298769650333,129.084125481999,,,,,,,
에픽키친,음식점 > 양식,,부산 금정구 금정로 62-1,364,http://place.map.kakao.com/1041013612,35.2301952813807,129.086570691942,,,,,,,
해쉬,음식점 > 양식,0507-1413-2349,부산 금정구 금강로 248-3,261,http://place.map.kakao.com/1403993346,35.2304212734464,129.085170688594,,,,,,,
엘부리또,"음식점 > 양식 > 멕시칸,브라질",,부산 금정구 금강로279번길 30-7,168,http://place.map.kakao.com/1764278094,35.233902298984404,129.08386932669114,,,,,,,
베이스먼트,음식점 > 양식,051-583-9454,부산 금정구 금강로 276,180,http://place.map.kakao.com/16841308,35.23258529633299,129.08556765846,,,,,,,
서양식당,음식점 > 양식 > 이탈리안,051-518-0929,부산 금정구 금정로 59-1,355,http://place.map.kakao.com/1576018188,35.22989276452456,129.086032479719,,,,,,,
몽포트,음식점 > 양식,051-583-0981,부산 금정구 부산대학로63번길 7,137,http://place.map.kakao.com/255035479,35.231294600954,129.084274876282,,,,,,,
피자몰 NC백화점부산대점,음식점 > 양식 > 피자 > 피자몰,051-509-7401,부산 금정구 부산대학로63번길 2,28,http://place.map.kakao.com/265413566,35.2322765502829,129.083873862014,,,,,,,
나이트폴,음식점 > 양식,,부산 금정구 금강로321번길 7,525,http://place.map.kakao.com/1243662345,35.2366872745538,129.086040649685,,,,,,,
피자와썹 부산금정점,음식점 > 양식 > 피자 > 피자와썹,051-515-2102,부산 금정구 금강로321번길 15,519,http://place.map.kakao.com/567532918,35.236767874234,129.085651697752,,,,,,,
크레딧버거,음식점 > 양식 > 햄버거,010-4225-1465,부산 금정구 장전로12번길 15,567,http://place.map.kakao.com/936555194,35.228490407591764,129.08760989705272,,,,,,,
칠리앤버건디,"음식점 > 양식 > 멕시칸,브라질",010-2523-9303,부산 금정구 부산대학로50번길 45,265,http://place.map.kakao.com/1394829252,35.2334845872448,129.086198054075,,,,,,,
멜버른마켓,음식점 > 양식,0507-1359-8715,부산 금정구 장전온천천로83번길 17-1,395,http://place.map.kakao.com/858518231,35.2324370201371,129.087947177448,,,,,,,
올라,음식점 > 양식,0503-7154-3192,부산 금정구 부산대학로 33-4,388,http://place.map.kakao.com/997917092,35.23093398439736,129.08747263251826,,,,,,,
파파존스 부산대점,음식점 > 양식 > 피자 > 파파존스,051-512-8144,부산 금정구 부산대학로 58,157,http://place.map.kakao.com/1895029402,35.2316201186425,129.085047616501,,,,,,,
호작,음식점 > 양식,010-9839-7790,부산 금정구 장전로20번길 22,509,http://place.map.kakao.com/526259910,35.2288937445655,129.087213879033,,,,,,,
노모어피자 부산대점,음식점 > 양식 > 피자,070-7542-4736,부산 금정구 금정로68번길 22,429,http://place.map.kakao.com/1621425833,35.23044675917948,129.08766442591318,,,,,,,
키노,음식점 > 양식 > 이탈리안,0503-7150-6689,부산 금정구 장전로12번길 30,554,http://place.map.kakao.com/1943429941,35.2290220385751,129.088082591681,,,,,,,
도미노피자 부산대점,음식점 > 양식 > 피자 > 도미노피자,051-517-3082,부산 금정구 금정로 54,423,http://place.map.kakao.com/7834279,35.229342257119434,129.08639288939193,,,,,,,
피자먹다 부산대점,음식점 > 양식 > 피자 > 피자먹다,051-581-3229,부산 금정구 금강로 271-11,100,http://place.map.kakao.com/937849836,35.2324181397466,129.084704506136,,,,,,,
제멜리아,음식점 > 양식 > 이탈리안,051-514-9822,부산 금정구 부산대학로49번길 42-1,349,http://place.map.kakao.com/1721054086,35.2294995102151,129.085111949609,,,,,,,
히게,음식점 > 양식 > 햄버거,0507-1392-6191,부산 금정구 금강로 288-1,258,http://place.map.kakao.com/875657256,35.23376746935978,129.08588898344328,,,,,,,
애요스다이닝 부산대점,음식점 > 양식,,부산 금정구 금강로 267-3,142,http://place.map.kakao.com/293507207,35.2320121646897,129.085097190641,,,,,,,
세멜레,음식점 > 양식,,부산 금정구 금강로 323,566,http://place.map.kakao.com/479070711,35.236991574461,129.086318641699,,,,,,,
바이트사이트,음식점 > 양식,0507-1496-0852,부산 금정구 수림로61번길 60,556,http://place.map.kakao.com/425979395,35.23726675327284,129.08504499473318,,,,,,,
옐로우피자 부산대점,음식점 > 양식 > 피자,051-513-1218,부산 금정구 금정로 121,487,http://place.map.kakao.com/475911711,35.2354978659731,129.087392998927,,,,,,,
고래한입피자 부산대점,음식점 > 양식 > 피자,051-714-2944,부산 금정구 금정로60번길 14,439,http://place.map.kakao.com/673862112,35.229692990898386,129.0871135481445,,,,,,,
프랭크버거 부산대점,음식점 > 양식 > 햄버거 > 프랭크버거,051-515-0057,부산 금정구 장전온천천로 51,581,http://place.map.kakao.com/1716678262,35.22961077031175,129.08900594634983,,,,,,,
프레드피자 부산대점,음식점 > 양식 > 피자 > 프레드피자,051-513-7477,부산 금정구 장전로20번길 28,484,http://place.map.kakao.com/740279991,35.229327093958936,129.087376542071,,,,,,,
